Date,Close_price
2/1/2006,128.3899994
2/2/2006,126.9000015
2/3/2006,126.2699966
2/6/2006,126.5999985
2/7/2006,125.4800034
2/8/2006,126.6200027
2/9/2006,126.4100037
2/10/2006,126.6399994
2/13/2006,126.4100037
2/14/2006,127.75
2/15/2006,128.1999969
2/16/2006,129.1600037
2/17/2006,128.8099976
2/21/2006,128.4900055
2/22/2006,129.2700043
2/23/2006,129.0800018
2/24/2006,129.4100037
2/27/2006,129.4600067
2/28/2006,128.2299957
3/1/2006,129.3699951
3/2/2006,129.3600006
3/3/2006,128.7599945
3/6/2006,128.1699982
3/7/2006,127.9700012
3/8/2006,128.2400055
3/9/2006,127.3799973
3/10/2006,128.5899963
3/13/2006,128.8300018
3/14/2006,130.1799927
3/15/2006,130.7599945
3/16/2006,131.0299988
3/17/2006,130.6199951
3/20/2006,130.4100037
3/21/2006,129.5899963
3/22/2006,130.3800049
3/23/2006,130.1100006
3/24/2006,130.2100067
3/27/2006,130.0200043
3/28/2006,129.2200012
3/29/2006,130.0299988
3/30/2006,129.8000031
3/31/2006,129.8300018
4/3/2006,129.7299957
4/4/2006,130.5599976
4/5/2006,131.0099945
4/6/2006,130.8699951
4/7/2006,129.5399933
4/10/2006,129.7400055
4/11/2006,128.6399994
4/12/2006,128.8800049
4/13/2006,128.7100067
4/17/2006,128.6600037
4/18/2006,130.6999969
4/19/2006,130.9499969
4/20/2006,131.1300049
4/21/2006,131.1499939
4/24/2006,130.9100037
4/25/2006,130.3699951
4/26/2006,130.3999939
4/27/2006,131.0299988
4/28/2006,131.4700012
5/1/2006,130.3999939
5/2/2006,131.3800049
5/3/2006,130.8899994
5/4/2006,131.3600006
5/5/2006,132.5200043
5/8/2006,132.3600006
5/9/2006,132.6199951
5/10/2006,132.5500031
5/11/2006,130.9499969
5/12/2006,129.2400055
5/15/2006,129.5
5/16/2006,129.3099976
5/17/2006,126.8499985
5/18/2006,126.2099991
5/19/2006,127.0999985
5/22/2006,126.1299973
5/23/2006,125.1699982
5/24/2006,126.1699982
5/25/2006,127.7300034
5/26/2006,128.3800049
5/30/2006,126.0999985
5/31/2006,127.5100021
6/1/2006,128.7299957
6/2/2006,129
6/5/2006,127.1200027
6/6/2006,126.8099976
6/7/2006,125.8600006
6/8/2006,125.75
6/9/2006,125.3499985
6/12/2006,123.9899979
6/13/2006,122.5500031
6/14/2006,123.5
6/15/2006,126.1200027
6/16/2006,124.6500015
6/19/2006,123.6699982
6/20/2006,124.0899963
6/21/2006,125.0100021
6/22/2006,124.4599991
6/23/2006,124.4400024
6/26/2006,124.9899979
6/27/2006,123.9100037
6/28/2006,124.75
6/29/2006,127.2699966
6/30/2006,127.2799988
7/3/2006,127.8000031
7/5/2006,127.0699997
7/6/2006,127.4400024
7/7/2006,126.6100006
7/10/2006,126.8499985
7/11/2006,127.4100037
7/12/2006,126.0500031
7/13/2006,124
7/14/2006,123.5199966
7/17/2006,123.3399963
7/18/2006,123.9700012
7/19/2006,125.6900024
7/20/2006,124.8300018
7/21/2006,123.9499969
7/24/2006,126.2099991
7/25/2006,126.6600037
7/26/2006,126.8300018
7/27/2006,126.7099991
7/28/2006,127.9800034
7/31/2006,127.8499985
8/1/2006,127.2200012
8/2/2006,128.0800018
8/3/2006,128.4199982
8/4/2006,128.1999969
8/7/2006,127.9000015
8/8/2006,127.4100037
8/9/2006,126.9800034
8/10/2006,127.3700027
8/11/2006,127.0100021
8/14/2006,127.1100006
8/15/2006,128.6300049
8/16/2006,129.6999969
8/17/2006,130.0299988
8/18/2006,130.6900024
8/21/2006,130.1300049
8/22/2006,130.1199951
8/23/2006,129.7599945
8/24/2006,129.6499939
8/25/2006,129.8099976
8/28/2006,130.4299927
8/29/2006,130.5800018
8/30/2006,130.6600037
8/31/2006,130.6399994
9/1/2006,131.4199982
9/5/2006,131.6699982
9/6/2006,130.5099945
9/7/2006,129.9100037
9/8/2006,130.2799988
9/11/2006,130.4100037
9/12/2006,131.6900024
9/13/2006,132.2200012
9/14/2006,132.2299957
9/15/2006,131.9600067
9/18/2006,132.1399994
9/19/2006,131.8099976
9/20/2006,132.5099945
9/21/2006,131.8699951
9/22/2006,131.4700012
9/25/2006,132.4799957
9/26/2006,133.5800018
9/27/2006,133.7400055
9/28/2006,133.6900024
9/29/2006,133.5800018
10/2/2006,133.0800018
10/3/2006,133.3600006
10/4/2006,134.9199982
10/5/2006,135.1799927
10/6/2006,135.0099945
10/9/2006,135.0899963
10/10/2006,135.2700043
10/11/2006,135.1100006
10/12/2006,136.2799988
10/13/2006,136.6300049
10/16/2006,136.8399963
10/17/2006,136.4100037
10/18/2006,136.5899963
10/19/2006,136.8099976
10/20/2006,136.8399963
10/23/2006,137.4700012
10/24/2006,137.8800049
10/25/2006,138.3500061
10/26/2006,138.7799988
10/27/2006,137.9100037
10/30/2006,137.8099976
